reach_diff,5f_win_diff,5f_loss_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
-1,-2,2,1,1,35,-1.1624896565915424,-0.12652889076339097,0
-1,0,0,-1,-1,3,1.9047396366116225,-0.05079643431243608,0
1,2,-2,0,-1,-42,-2.068718905836716,0.1421634805089578,0
-5,1,-1,-1,-1,23,-0.8682038144036439,0.037650630989657465,1
1,1,-1,0,-1,-16,1.0223240934309437,0.023412002139639926,0
-1,1,-1,1,2,-36,4.146139359698681,0.1404554014723506,1
3,0,0,2,1,-33,-2.44195688225539,0.23540630182421224,0
5,0,0,-1,-1,-2,3.1428571428571432,-1.0476190476190477,1
-3,1,-1,0,0,-7,3.8049914094639634,0.0,1
2,-1,1,-1,-1,10,-0.3418062776814943,-0.17862507221259386,0
-5,-1,1,0,-1,-7,3.511111111111111,-0.15555555555555556,1
6,1,-1,2,0,-16,-0.9388535031847134,-0.012597310686482663,1
4,1,-1,3,0,-43,0.5426877470355733,-0.007378129117259553,1
4,1,-1,1,0,23,1.2102170071673908,-0.06978775785732724,1
0,1,-1,3,-1,-14,1.586700169636873,0.12371134020618559,0
-1,1,-1,2,0,23,2.721804444060358,-0.03179650238473768,1
5,1,-1,3,1,-28,3.984871794871795,0.0,1
5,0,0,1,1,12,3.018799603174603,0.0,1
3,0,0,-1,0,-2,0.4041353263891043,0.0018489297198913887,0
3,-1,1,0,0,33,-1.3093964858670732,0.09523809523809523,1
5,-2,2,-3,1,20,2.863675639747424,0.029112662013958124,0
5,-3,3,-1,2,4,0.13444909344490874,0.08396094839609484,0
-1,-1,1,0,0,-30,1.8825657005323415,-0.11879064036133631,0
1,1,-1,0,-2,-28,1.9919413286488412,0.06973942509371385,1
-4,4,-4,1,-2,-21,-2.710347643341047,0.06235941956304929,1
-1,2,-2,-2,0,-11,-1.4324733402132779,0.06666666666666667,0
-1,1,-1,-2,-1,-15,-0.17414399891653787,0.02477291494632535,0
1,-1,1,-2,-1,-19,-1.9543358609424892,-0.02971768202080238,0
0,1,-1,-1,0,-8,-1.4065328610783152,-0.15904499540863176,0
-1,2,-2,-1,0,-30,-2.5938930027456544,-0.003910475081121568,0
2,-2,2,0,2,3,-0.5158136860264522,-0.044444444444444446,1
4,1,-1,0,0,-8,1.533867899441569,0.27887168367868753,0
1,1,-1,-1,-2,-21,1.8910844549703052,-0.5003299375378525,0
-2,-1,1,1,-1,-3,-0.3621859330169199,-0.05421929048346874,0
3,1,-1,0,-1,2,-2.161886336154777,-0.11843611446997179,1
0,1,-1,-2,0,6,3.3125952065872664,-0.10566681370386707,0
5,0,0,-1,1,2,2.0804147206208556,-0.08360427310729215,1
-1,0,0,-2,1,5,0.8242785974882203,-0.09111617312072894,0
3,-1,1,0,0,5,-0.08205128205128176,-0.1111111111111111,1
-4,1,-1,1,-1,-8,1.5999640861035669,-0.06733855581243968,0
0,0,0,3,1,-6,-2.354354755021867,-0.0044177599881402435,0
-2,-1,1,0,2,-8,0.6461072724437855,0.036426839773877645,0
-2,-1,1,0,0,-18,-1.7429917550058893,0.23425206124852763,0
2,-1,1,0,1,-12,1.143287560113564,-0.2565038530621705,1
2,0,0,-2,0,-12,-1.399333909617064,-0.06876790830945559,1
